Date,MVRV-Z Score
2013-01-21,2.064727
2013-01-22,2.155399
2013-01-23,2.189252
2013-01-24,2.030248
2013-01-25,2.129725
2013-01-26,2.147097
2013-01-27,2.193733
2013-01-28,2.378056
2013-01-29,2.497153
2013-01-30,2.513616
2013-01-31,2.644137
2013-02-01,2.57828
2013-02-02,2.385094
2013-02-03,2.566964
2013-02-04,2.514711
2013-02-05,2.537664
2013-02-06,2.628579
2013-02-07,2.790348
2013-02-08,2.891442
2013-02-09,3.051179
2013-02-10,3.052934
2013-02-11,3.136713
2013-02-12,3.191712
2013-02-13,3.079309
2013-02-14,3.548477
2013-02-15,3.46192
2013-02-16,3.444135
2013-02-17,3.316322
2013-02-18,3.273557
2013-02-19,3.685092
2013-02-20,3.699107
2013-02-21,3.643769
2013-02-22,3.702701
2013-02-23,3.530548
2013-02-24,3.485317
2013-02-25,3.49451
2013-02-26,3.580287
2013-02-27,3.548772
2013-02-28,3.827154
2013-03-01,3.961538
2013-03-02,3.823379
2013-03-03,3.818431
2013-03-04,4.060831
2013-03-05,4.629206
2013-03-06,4.87384
2013-03-07,4.543676
2013-03-08,4.73546
2013-03-09,5.046447
2013-03-10,4.81101
2013-03-11,5.004912
2013-03-12,4.359094
2013-03-13,4.616934
2013-03-14,4.505549
2013-03-15,4.408804
2013-03-16,4.359087
2013-03-17,4.302175
2013-03-18,4.710699
2013-03-19,5.542734
2013-03-20,5.847906
2013-03-21,6.417238
2013-03-22,6.054199
2013-03-23,5.286311
2013-03-24,5.892139
2013-03-25,5.935108
2013-03-26,6.152183
2013-03-27,6.862384
2013-03-28,6.454482
2013-03-29,6.439486
2013-03-30,6.341272
2013-03-31,6.265477
2013-04-01,6.75004
2013-04-02,7.413086
2013-04-03,7.974166
2013-04-04,7.652578
2013-04-05,7.796483
2013-04-06,7.432427
2013-04-07,8.206548
2013-04-08,8.927583
2013-04-09,10.273336
2013-04-10,6.207485
2013-04-11,2.252257
2013-04-12,3.695274
2013-04-13,2.96741
2013-04-14,2.518951
2013-04-15,2.129514
2013-04-16,1.521375
2013-04-17,2.691179
2013-04-18,3.394088
2013-04-19,3.813363
2013-04-20,4.15874
2013-04-21,3.6321
2013-04-22,3.918053
2013-04-23,4.518169
2013-04-24,4.86906
2013-04-25,4.188266
2013-04-26,3.951534
2013-04-27,3.508768
2013-04-28,3.717807
2013-04-29,4.011497
2013-04-30,3.755962
2013-05-01,2.811849
2013-05-02,2.412972
2013-05-03,2.008551
2013-05-04,2.624977
2013-05-05,2.752
2013-05-06,2.560356
2013-05-07,2.519956
2013-05-08,2.558803
2013-05-09,2.495353
2013-05-10,2.692213
2013-05-11,2.58351
2013-05-12,2.540138
2013-05-13,2.610749
2013-05-14,2.249222
2013-05-15,2.273278
2013-05-16,2.398712
2013-05-17,2.535367
2013-05-18,2.540054
2013-05-19,2.481559
2013-05-20,2.490319
2013-05-21,2.452934
2013-05-22,2.494035
2013-05-23,2.635596
2013-05-24,2.787842
2013-05-25,2.742849
2013-05-26,2.764788
2013-05-27,2.616149
2013-05-28,2.579313
2013-05-29,2.674901
2013-05-30,2.552655
2013-05-31,2.573294
2013-06-01,2.584831
2013-06-02,2.367711
2013-06-03,2.361767
2013-06-04,2.258094
2013-06-05,2.263285
2013-06-06,2.185275
2013-06-07,1.897925
2013-06-08,1.858973
2013-06-09,1.563231
2013-06-10,1.698423
2013-06-11,1.787705
2013-06-12,1.746968
2013-06-13,1.587695
2013-06-14,1.519088
2013-06-15,1.535227
2013-06-16,1.505336
2013-06-17,1.534961
2013-06-18,1.657361
2013-06-19,1.655587
2013-06-20,1.647744
2013-06-21,1.555931
2013-06-22,1.510049
2013-06-23,1.514671
2013-06-24,1.472228
2013-06-25,1.432672
2013-06-26,1.45316
2013-06-27,1.395576
2013-06-28,1.175969
2013-06-29,1.154993
2013-06-30,1.174677
2013-07-01,0.976522
2013-07-02,1.120241
2013-07-03,0.823215
2013-07-04,0.867504
2013-07-05,0.532952
2013-07-06,0.510231
2013-07-07,0.680962
2013-07-08,0.73629
2013-07-09,0.763608
2013-07-10,1.054271
2013-07-11,1.124646
2013-07-12,1.193841
2013-07-13,1.232845
2013-07-14,1.180486
2013-07-15,1.291476
2013-07-16,1.231195
2013-07-17,1.208603
2013-07-18,1.033388
2013-07-19,1.071018
2013-07-20,1.032147
2013-07-21,1.053223
2013-07-22,1.052135
2013-07-23,1.089076
2013-07-24,1.121017
2013-07-25,1.176656
2013-07-26,1.168939
2013-07-27,1.114223
2013-07-28,1.243652
2013-07-29,1.257816
2013-07-30,1.350158
2013-07-31,1.383411
2013-08-01,1.338044
2013-08-02,1.317076
2013-08-03,1.288713
2013-08-04,1.310097
2013-08-05,1.338239
2013-08-06,1.339475
2013-08-07,1.318739
2013-08-08,1.236846
2013-08-09,1.18419
2013-08-10,1.205319
2013-08-11,1.230717
2013-08-12,1.261553
2013-08-13,1.317403
2013-08-14,1.35171
2013-08-15,1.318101
2013-08-16,1.319861
2013-08-17,1.353446
2013-08-18,1.337686
2013-08-19,1.433488
2013-08-20,1.47606
2013-08-21,1.644242
2013-08-22,1.602788
2013-08-23,1.54577
2013-08-24,1.57403
2013-08-25,1.684047
2013-08-26,1.650831
2013-08-27,1.797228
2013-08-28,1.803144
2013-08-29,1.807548
2013-08-30,1.961276
2013-08-31,2.043489
2013-09-01,2.088784
2013-09-02,2.05013
