Date,BTC Price,Bubble Index,Google Trends,Difficulty,Transactions,Sent By Address,Tweets
2011-06-10,26.434,-22.95845107,7.203,567270,11046,19152,0
2011-06-11,19.301,-23.73223633,9.321,567270,10645,18665,0
2011-06-12,16.648,-24.60369082,9.321,567270,12207,21197,0
2011-06-13,19.194,-24.37453482,7.203,567270,11019,19705,0
2011-06-14,19.54,-24.79558089,7.732,567270,13911,23674,0
2011-06-15,19.385,-23.98952221,10.592,688258,12326,21753,0
2011-06-16,18.25,-24.68095182,8.474,876954,12566,22352,0
2011-06-17,16.341,-24.95176316,7.309,876954,11110,19978,0
2011-06-18,16.445,-24.91178329,7.521,876954,11366,19874,0
2011-06-19,17.18,-24.81558112,7.627,876954,11249,20705,0
2011-06-20,17,-24.26199439,9.957,876954,10991,19542,0
2011-06-21,17,-24.47883025,7.521,876954,9451,18066,0
2011-06-22,17,-24.98358437,7.309,876954,11259,20420,0
2011-06-23,17,-25.0392215,5.826,876954,10178,18557,0
2011-06-24,17,-25.29643078,4.978,1067619,10706,19140,0
2011-06-25,17,-25.15782042,4.237,1379192,9550,17412,0
2011-06-26,16.98,-25.13351939,4.661,1379192,9836,17364,0
2011-06-27,16.6,-25.80668116,4.555,1379192,11582,21468,0
2011-06-28,16.85,-25.58220138,4.555,1379192,10559,19446,0
2011-06-29,16.9,-25.54101472,3.919,1379192,9830,17806,0
2011-06-30,16.473,-25.69183583,3.178,1379192,9445,17404,0
2011-07-01,15.736,-25.9315385,3.394,1379192,10430,17795,0
2011-07-02,15.385,-25.32772023,3.239,1379192,7849,14481,0
2011-07-03,15.42,-25.5106001,3.281,1379192,8199,15409,0
2011-07-04,14.65,-26.11790547,2.892,1379192,9434,17250,0
2011-07-05,13.392,-26.16755699,3.41,1379192,8826,16717,0
2011-07-06,13.853,-26.46276985,3.08,1406124,10362,18553,0
2011-07-07,14.737,-25.55501494,4.652,1563028,9049,15613,0
2011-07-08,14.545,-25.90177221,2.76,1563028,8363,15642,0
2011-07-09,14.347,-25.56994465,3.386,1563028,7702,13901,0
2011-07-10,14.638,-25.69629666,3.463,1563028,8255,14423,0
2011-07-11,14.555,-26.43034903,3.05,1563028,10366,17720,0
2011-07-12,14.109,-26.10035869,2.583,1563028,8006,14775,0
2011-07-13,13.989,-26.40986945,2.939,1563028,9002,16562,0
2011-07-14,13.985,-26.08164419,4.031,1563028,8572,16231,0
