Date,VOCD,Reserve Risk Index,HODL Bank,MVOCD
2018-04-03,2505.67556489,0.00878347,844859.68113585,2664.36030760
2018-04-04,1495.83090796,0.00798590,849064.53187877,2575.69285849
2018-04-05,2177.54351172,0.00796659,853366.78522442,2496.16927095
2018-04-06,1603.17921213,0.00770902,857500.56800221,2476.70957201
2018-04-07,2067.96511917,0.00798977,861910.32790214,2476.70957201
2018-04-08,2329.49870581,0.00809011,866489.77339268,2430.55061379
2018-04-09,1769.59067689,0.00773648,870796.11560268,2430.55061379
2018-04-10,2175.72369752,0.00778851,875227.19933991,2385.63487820
2018-04-11,5174.17488178,0.00789372,879786.35031881,2385.63487820
2018-04-12,4770.64032481,0.00892837,885305.04571589,2385.63487820
2018-04-13,4298.86480596,0.00888990,890793.55979673,2430.55061379
2018-04-14,2188.21339875,0.00893137,896438.05585685,2361.92188319
2018-04-15,2152.24918623,0.00924329,902521.47090597,2258.85605228
2018-04-16,2340.31528882,0.00885929,908309.59698723,2258.85605228
2018-04-17,3202.76695660,0.00863049,913938.47889287,2258.85605228
2018-04-18,4953.94658737,0.00887417,919842.45770237,2258.85605228
2018-04-19,25323.14457868,0.00893621,925780.51802095,2334.90699731
2018-04-20,8120.19340582,0.00948154,932285.11215572,2334.90699731
2018-04-21,6038.12618104,0.00944121,938813.74598745,2334.90699731
2018-04-22,3489.43431602,0.00931110,945211.16934662,2403.53572792
2018-04-23,6259.00694878,0.00938365,951738.41825225,2403.53572792
2018-04-24,5269.41381544,0.01006521,958967.63661412,2422.99542685
2018-04-25,4866.00413727,0.00917289,965400.15012385,2422.99542685
2018-04-26,15246.90348612,0.00953074,972089.18469231,2575.69285849
2018-04-27,2333.50751962,0.00917872,978494.82262400,2575.69285849
2018-04-28,1604.17169982,0.00948010,985413.65188183,2422.99542685
2018-04-29,2539.43613192,0.00946908,992387.65408473,2422.99542685
2018-04-30,3871.09542001,0.00923710,999093.82471995,2522.55584841
2018-05-01,1710.15630744,0.00902126,1005643.43762900,2522.55584841
2018-05-02,10134.11045461,0.00909520,1011976.46372530,2871.10154426
2018-05-03,2992.78604684,0.00957237,1018629.38736999,3097.77650172
2018-05-04,3762.77000253,0.00946032,1024979.92964367,3346.10063631
2018-05-05,2767.83453306,0.00949742,1031429.75477943,3346.10063631
2018-05-06,2646.03899568,0.00924668,1037678.74096253,3346.10063631
2018-05-07,2152.42889373,0.00894870,1043672.15117339,3346.10063631
2018-05-08,2226.24022972,0.00877754,1049538.42017180,3346.10063631
2018-05-09,3531.16502669,0.00880589,1055321.16277397,3510.29967135
2018-05-10,8146.54704717,0.00852025,1060711.72576842,3646.96751461
2018-05-11,3279.58111483,0.00790127,1065621.18468444,3510.29967135
2018-05-12,1505.90043701,0.00792528,1070722.45223582,3384.50771542
2018-05-13,1744.70963217,0.00808030,1076177.11129392,3241.17403571
2018-05-14,20710.77702970,0.00801791,1081463.67775325,3384.50771542
2018-05-15,3008.20258039,0.00781218,1086567.63345922,3384.50771542
2018-05-16,2990.94636922,0.00762957,1091510.88194514,3384.50771542
2018-05-17,24694.99388214,0.00734502,1096051.09851312,3510.29967135
2018-05-18,2318.34853752,0.00747851,1100899.67725299,3384.50771542
2018-05-19,1926.84845709,0.00744086,1105985.26834109,3143.89184761
2018-05-20,2084.50202685,0.00765765,1111496.22285769,3000.49431362
2018-05-21,2419.48544191,0.00751956,1116902.97977620,2991.86620803
2018-05-22,2122.92211450,0.00713663,1122031.11585720,2879.39045114
2018-05-23,3633.22894618,0.00667529,1126672.59308520,2879.39045114
2018-05-24,4959.07782790,0.00669598,1131368.82712004,2879.39045114
2018-05-25,1492.73656611,0.00653592,1136087.26603013,2706.93676437
2018-05-26,788.52960858,0.00642196,1140820.83165277,2592.73756380
2018-05-27,1143.67116984,0.00640573,1145566.28713339,2592.73756380
2018-05-28,2023.79139097,0.00618287,1150084.37345123,2592.73756380
2018-05-29,1616.48310086,0.00645333,1155005.24495746,2532.76221879
2018-05-30,2614.17925896,0.00635822,1159863.08165612,2516.83235044
2018-05-31,1470.60777723,0.00642049,1164824.99117272,2516.83235044
2018-06-01,1824.28296735,0.00642734,1169975.90992029,2368.91698971
2018-06-02,1044.57352660,0.00649807,1175341.06378974,2272.29438362
2018-06-03,1555.07973409,0.00652253,1180853.88716109,2189.33456173
2018-06-04,2464.26264652,0.00631172,1186151.20579895,2189.33456173
2018-06-05,1912.07446452,0.00638720,1191624.68014755,2137.67550412
2018-06-06,2721.29178338,0.00639109,1197100.87478257,2174.58117211
2018-06-07,1465.11745972,0.00637414,1202663.11060815,2103.71207068
2018-06-08,2436.53844834,0.00630915,1208182.00086769,2103.71207068
2018-06-09,1350.26128538,0.00622581,1213684.02585661,2054.14670891
2018-06-10,1896.76435279,0.00553549,1218453.44173358,1975.31992403
2018-06-11,2112.60596539,0.00559939,1223248.74771198,2054.14670891
2018-06-12,1407.36369527,0.00531611,1227721.30068308,2054.14670891
2018-06-13,3527.06748578,0.00511903,1231973.66714220,2054.14670891
2018-06-14,1307.18834518,0.00536117,1236628.11734236,1975.31992403
2018-06-15,1212.04554143,0.00515642,1241108.32992802,1919.46146080
2018-06-16,633.73687202,0.00521419,1245699.22582855,1904.41940865
2018-06-17,959.92727327,0.00515936,1250289.39614130,1860.52366007
2018-06-18,1601.53243028,0.00534052,1255272.82569690,1720.38303411
2018-06-19,1090.90869355,0.00534158,1260396.32674051,1609.00776557
2018-06-20,1496.45023445,0.00533609,1265571.22748415,1578.30608219
2018-06-21,5510.67863832,0.00528866,1270713.29463633,1578.30608219
2018-06-22,1378.04836317,0.00475169,1275247.10551121,1525.76498427
2018-06-23,1096.05456490,0.00482389,1279926.73789030,1494.59340028
2018-06-24,2273.40404687,0.00478494,1284547.46010095,1525.76498427
2018-06-25,1425.06155250,0.00484271,1289265.23055765,1525.76498427
2018-06-26,1804.78056548,0.00471186,1293783.05324168,1578.30608219
2018-06-27,5067.05049704,0.00472848,1298343.93684272,1578.30608219
2018-06-28,2272.76228684,0.00449756,1302624.26653874,1578.30608219
2018-06-29,1391.87311654,0.00475853,1307319.41526955,1525.76498427
2018-06-30,1219.32049684,0.00485878,1312169.19151673,1525.76498427
2018-07-01,3880.86938174,0.00483020,1317004.82907132,1525.76498427
2018-07-02,2199.05481430,0.00499863,1322034.89014636,1578.30608219
2018-07-03,2102.12124883,0.00489762,1326830.04150762,1703.15649788
2018-07-04,2410.35439582,0.00494053,1331706.21838613,1703.15649788
2018-07-05,1105.53767475,0.00488916,1336692.52545645,1548.99133237
2018-07-06,2199.91035542,0.00491783,1341741.99321993,1548.99133237
2018-07-07,1044.17739310,0.00500238,1346930.85796793,1548.99133237
2018-07-08,2277.23325932,0.00495894,1352086.78661569,1548.99133237
2018-07-09,1635.22413568,0.00491037,1357132.43242622,1618.37828298
2018-07-10,1939.79543660,0.00463282,1361823.13814733,1618.37828298
2018-07-11,1958.95188044,0.00466710,1366582.73637574,1618.37828298
2018-07-12,1424.40496896,0.00449228,1371123.82476897,1618.37828298
2018-07-13,2573.88162920,0.00451328,1375714.43205788,1618.37828298
2018-07-14,711.15634902,0.00453154,1380351.16625356,1618.37828298
2018-07-15,1112.30438958,0.00458284,1385080.39224439,1618.37828298
2018-07-16,2350.79758987,0.00482767,1390071.19733128,1720.00235058
2018-07-17,1852.14463738,0.00524562,1395563.32955772,1828.46260143
2018-07-18,2505.71898411,0.00526468,1401043.39786001,1895.97003699
2018-07-19,2764.39267128,0.00530872,1406561.05849956,1949.37365852
2018-07-20,1921.00948930,0.00518950,1411938.94152397,1949.37365852
2018-07-21,3005.64181683,0.00522828,1417400.13348585,1949.37365852
2018-07-22,1794.23091131,0.00520047,1422850.24357427,1949.37365852
2018-07-23,2767.45937784,0.00540145,1428535.86563704,2030.53656464
2018-07-24,3091.35440607,0.00585239,1434902.94559403,2030.53656464
2018-07-25,2876.92875401,0.00569256,1440955.07795785,2150.58803157
2018-07-26,1826.69071366,0.00547026,1446718.42070448,2150.58803157
2018-07-27,1611.49902955,0.00562598,1452861.65875118,2030.53656464
2018-07-28,1537.78605642,0.00561329,1459102.64514936,1949.37365852
2018-07-29,3336.59645159,0.00561632,1465301.71442341,2030.53656464
2018-07-30,2010.21928128,0.00555372,1471417.38367764,2056.17026506
2018-07-31,1805.11103542,0.00522973,1477157.93113273,1984.58558086
2018-08-01,1427.07646728,0.00512319,1482805.25548619,1949.37365852
2018-08-02,2455.79467367,0.00506766,1488398.57648957,1949.37365852
2018-08-03,1622.22415583,0.00496114,1493879.51827677,1930.40246295
2018-08-04,2057.70078458,0.00467146,1498932.35327108,1949.37365852
2018-08-05,1252.29344716,0.00467515,1504033.53855915,1930.40246295
2018-08-06,2701.03725739,0.00459240,1509014.15579485,1949.37365852
2018-08-07,1254.25605499,0.00444084,1513806.33176469,1930.40246295
2018-08-08,1919.86469176,0.00412832,1518143.31797532,1930.40246295
2018-08-09,3588.85445997,0.00430671,1522761.43419840,1939.98068487
2018-08-10,2782.54629231,0.00401835,1526931.57167167,1965.61438529
2018-08-11,1749.97045241,0.00412318,1531279.70659819,1965.61438529
2018-08-12,691.81743386,0.00411200,1535673.96116342,1920.43709053
2018-08-13,5896.98754449,0.00406880,1539974.19482196,1965.61438529
2018-08-14,3108.86311171,0.00400539,1544125.06387466,2033.96003293
2018-08-15,3103.14332061,0.00404958,1548361.31864038,2033.96003293
2018-08-16,4711.73185698,0.00405229,1552395.32136655,2256.74772912
2018-08-17,6254.75535183,0.00421602,1556701.65192615,2256.74772912
2018-08-18,597.59292501,0.00409930,1561066.97934003,2033.96003293
2018-08-19,4297.45821713,0.00414663,1565300.94773803,2256.74772912
2018-08-20,3605.80424748,0.00399725,1569317.15273772,2256.74772912
2018-08-21,5718.47946469,0.00411456,1573211.81281164,2578.41596553
2018-08-22,6508.76128616,0.00403615,1576998.40667778,2578.41596553
2018-08-23,6955.98947437,0.00412187,1580936.39973768,2578.41596553
2018-08-24,1928.66214456,0.00422469,1585377.38388728,2256.74772912
2018-08-25,8609.05082285,0.00424363,1589544.40686097,2578.41596553
2018-08-26,4755.24219073,0.00419824,1593492.48441925,2741.79177485
2018-08-27,8579.23403441,0.00428146,1597388.79856516,2942.84480646
2018-08-28,6208.16821474,0.00442885,1601538.92756700,2942.84480646
2018-08-29,8735.31070485,0.00438093,1605466.35241892,3106.00321616
2018-08-30,6886.62907278,0.00432977,1609084.45737680,3348.85878584
2018-08-31,1868.06589240,0.00435597,1612760.73937120,3348.85878584
2018-09-01,1165.60493136,0.00444905,1616604.23313270,3348.85878584
2018-09-02,1338.28711972,0.00449644,1620542.04213792,3348.85878584
2018-09-03,1598.23515291,0.00446765,1624450.65356599,3348.85878584
2018-09-04,1797.30369978,0.00451888,1628460.60625911,3348.85878584
2018-09-05,1906.35244407,0.00416134,1631902.64480173,3348.85878584
2018-09-06,2492.42964351,0.00396814,1635041.86195277,3348.85878584
2018-09-07,1481.63639695,0.00391224,1638101.65678937,3348.85878584
2018-09-08,907.18420568,0.00377032,1641183.44407554,3106.00321616
2018-09-09,1594.01341454,0.00380049,1644326.68716973,3106.00321616
2018-09-10,2768.93062578,0.00382114,1647516.07255613,3106.00321616
2018-09-11,3140.89778135,0.00380356,1650669.61674928,3124.88044653
2018-09-12,2162.08195380,0.00382585,1653891.14989636,3106.00321616
2018-09-13,9511.76327256,0.00391665,1657260.04166185,3122.02055098
2018-09-14,1204.55002280,0.00391058,1660799.82293725,2954.91420356
2018-09-15,1023.25119253,0.00391914,1664693.30847005,2630.68013464
2018-09-16,971.72889891,0.00389331,1668863.45737275,2327.25579865
2018-09-17,1681.82714433,0.00374140,1672794.79644902,2327.25579865
2018-09-18,1251.49404258,0.00378057,1677089.77219003,2045.37204918
2018-09-19,1503.57842604,0.00379645,1681556.21677152,1917.50729431
2018-09-20,2165.08384163,0.00385414,1686137.31658825,1917.50729431
2018-09-21,3629.21661757,0.00398658,1690960.95219282,1917.50729431
2018-09-22,1210.42262872,0.00395422,1695779.21907573,1887.20916824
2018-09-23,1237.07384921,0.00394152,1700649.67112914,1832.68479609
2018-09-24,1480.02099914,0.00385611,1705486.65071029,1739.56542206
2018-09-25,4138.16953558,0.00375195,1710163.52930986,1739.56542206
2018-09-26,1364.90579869,0.00376869,1714986.74856481,1640.03114862
2018-09-27,1568.90928491,0.00388235,1720068.52476969,1596.12428372
2018-09-28,4429.33231377,0.00383928,1725095.52664581,1596.12428372
2018-09-29,1250.81951573,0.00380585,1730098.56444366,1581.46134973
2018-09-30,2046.15640918,0.00380635,1735121.58812228,1581.46134973
2018-10-01,2506.06946649,0.00377097,1740087.27767081,1596.12428372
2018-10-02,3133.78676386,0.00373002,1744955.96746083,1640.03114862
2018-10-03,1865.70942005,0.00369465,1749680.85888243,1739.56542206
2018-10-04,1750.25938199,0.00373055,1754510.10128701,1716.04326316
2018-10-05,1229.46655741,0.00374272,1759457.33058735,1637.92027944
2018-10-06,1597.10540580,0.00371256,1764412.24949308,1595.55941017
2018-10-07,796.17578847,0.00371009,1769381.25834299,1595.55941017
2018-10-08,2535.53365478,0.00372232,1774346.47734203,1639.46627506
2018-10-09,2676.18257998,0.00370411,1779220.86270102,1716.04326316
2018-10-10,3296.30965449,0.00365974,1784033.92187386,1716.04326316
2018-10-11,3921.01037369,0.00344385,1788477.13025331,1716.04326316
2018-10-12,1740.90532345,0.00345333,1792957.44124268,1711.36623389
2018-10-13,1419.85394108,0.00344792,1797515.66066399,1639.46627506
